,Title-Code,Title Name,Hindi Title,Register Serial No,Regn No.,Owner Name,State,Publication City/District,Periodity
700,DELENG07055,INDIAN STEEL AGE,,7274.0,7274/ 61,PARDUMAN KRISHNA BHANOT,DEL,DELHI,M
701,DELBIL03996,JOURNAL OF THE HOMOEOPATHIC MEDICAL ASSOCIATION OF INDIA,,28992.0,28992/ 77,THE HOMOEOPATHIC MEDICAL ASSOCIATION OF DELHI,DEL,DELHI,M
702,DELENG03076,THE INDIAN SECULAR VOICE,,47377.0,47377/ 88,RAJU BOHRA,DEL,DELHI,M
703,DELENG11221,ENTREPRENEUR INDIAN,,59393.0,59393/ 94,NOT GIVEN,DEL,DELHI,M
704,DELENG19228,INDIAN ATHE IST,,34521.0,34521/ 79,SAND EDAMARUKU,DEL,DELHI,M
705,DELENG07869,INDIAN FARMER TIMES,,40544.0,40544/ 83,WAFM FARMER WELFARE TRUST SOCIETY,DEL,DELHI,M
706,DELENG10091,INTERNET USER INDIA,,65949.0,65949/ 97,YOUNGMEN PRINTERS & PUBLISHERS PVT. LTD.,DEL,DELHI,M
707,DELENG02857,INDIAN JOURNAL OF SCHOOL MANAGEMENT,,49303.0,49303/ 89,GUIDANCE & COUNSELLING SERVICES SOCIETY,DEL,DELHI,M
708,DELENG19203,FUTURE INDIA,,34438.0,34438/ 79,FUTURE INDIA TRUST,DEL,DELHI,M
709,DELENG06807,ALL INDIA CO-OPERATIVE REVIEW,आल इंडिया को-ऑपरेटिव रिव्यू,654.0,654/ 57,ALL INDIA CO-OPERATIVE UNION,DEL,DELHI,M
710,DELENG18722,BEYOND INDIA,बियॉन्ड इंडिया,132050.0,DELENG/2014/59495,AMIT KUMAR GAUR,DEL,DELHI,M
711,DELENG19690,INDIAN PLUMBING TODAY,इंडियन प्लंबिंग टुडे,151660.0,DELENG/2019/79105,INDIAN PLUMBING ASSOCIATION,DEL,DELHI,M
712,DELENG02774,INDIA CALLING EASTERN,इंडिया कालिंग ईस्टर्न,832.0,832/ 57,"ALL INDIA RADIO,",DEL,DELHI,M
713,DELHIN10091,SWEEPER IN INDIA,,73587.0,DELHIN/2000/01030,KISHOR MAITHANI,DEL,DELHI,M
714,DELENG03035,INDIAN POLICE,,25514.0,25514/ 73,O P KAPUR,DEL,DELHI,M
715,DELENG11284,NEWS INDIA,,25667.0,25667/ 74,THE HINDUSTAN TIMES LTD.,DEL,DELHI,M
716,DELBIL00918,INDIAN PRESS REPORTER,,25705.0,25705/ 73,B R BEHL,DEL,DELHI,M
717,DELBIL02350,INDIAN FARM MECHANIZATION,इंडियन फार्म मैकेनाइज़ेशन निज़ति,597.0,597/ 57,GURSHARAN SINGH,DEL,DELHI,M
718,DELENG06202,UPPER INDIA MOTORIST,अपर इंडिया मोटरिस्ट,611.0,611/ 57,"ANTOMOBILE ASSOCIATION OF UPPER INDIA,",DEL,DELHI,M
719,DELENG10681,THE INDIAN COAL NEWS,,71174.0,71174/ 98,RASHMI TIWARY,DEL,DELHI,M
720,DELENG12984,CHARISINDIA,कैरिसइंडिया,78521.0,DELENG/2002/05964,CATHOLIC CHARISMATIC RENEWAL SERVICES,DEL,DELHI,M
721,DELHIN06380,SKEPTICS INDIA,स्केप्टिक्स इंडिया,55510.0,55510/ 92,GULSHAN KUMAR MAHAJAN,DEL,DELHI,M
722,DELENG00782,THE CAPITAL OF INDIA,,28710.0,28710/ 76,ABDUL REHMAN DEHLVI,DEL,DELHI,M
723,DELENG11180,INDIAN BOOK NEWS,,6663.0,6663/ 61,KITAB MAHAL PVT. LTD.,DEL,DELHI,M
724,DELENG02930,INDIAN OCEAN,,47326.0,47326/ 87,THE INSTITUTE FOR SOCIALIST EDICATION,DEL,DELHI,M
725,DELENG11361,T T SHOPPER INDIA,,66405.0,66405/ 97,M/S YOUNG MEN PRINTERS&PUBLISHERS PVT.LTD,DEL,DELHI,M
726,DELENG18407,PARENTS INDIA,,124296.0,DELENG/2013/51741,MAXPOSURE MEDIA GROUP (INDIA) PVT.LTD.,DEL,DELHI,M
727,DELENG08950,PRODUCTS EQUIPMENTS AND PROCESS IN INDL.INDIA,,59247.0,59247/ 94,ROMESH BHATIA,DEL,DELHI,M
728,DELENG09161,INDIAN INFO PAGES,,59288.0,59288/ 94,PROMOD K. MITTAL,DEL,DELHI,M
729,DELENG00224,ALL INDIA ARBITRATION LAW REPORTER,आल इंडिया आर्बिट्रेशन लॉ रिपोर्टर,40530.0,40530/ 83,O.P. CHADHA,DEL,DELHI,M
730,DELENG12799,INDIAN DAIRYMAN,,13241.0,13241/ 68,INDIAN DAIRY ASSOCIATION,DEL,DELHI,M
731,DELENG07046,INDIAN JURIST,,10554.0,10554/ 65,TRILOK SINGH ARORA,DEL,DELHI,M
732,DELENG07054,INDIAN SCIENCE ABSTRACT,,10565.0,10565/ 65,INDIAN NATIONAL SCIENTIFIC DOCUMENTATION CENTRE,DEL,DELHI,M
733,DELENG05654,SKEPTICS INDIA,स्केप्टिक्स इंडिया,53316.0,53316/ 91,GULSHAN KR.MOHANJAN,DEL,DELHI,M
734,DELHIN07697,BHARAT BANAM INDIA,,66674.0,66674/ 97,PUSHPENDER CHAUHAN,DEL,DELHI,M
735,DELENG07874,INDIAN JOURNAL OF GEO MARINE SCIENCES,,23966.0,23966/ 72,NATIONAL INSTITUTE OF SCIENCE COMMUNICATION & INFORMATION RESOURCES,DEL,DELHI,M
736,DELENG11286,NEWSLETTER ON CIVIL AVIATION IN INDIA,,4511.0,4511/ 57,GOVT. MINISTRY OF CIVIL AVIATION,DEL,DELHI,M
737,DELENG07051,INDIAN RAILWAYS,,4563.0,4563/ 57,M/O RAILWAYS (RLY. BOARD),DEL,DELHI,M
738,DELENG03018,INDIAN STORIES,,12865.0,12865/ 67,SAKET BIHARI SHARAN,DEL,DELHI,M
739,DELENG18115,INDIAN SUGAR,,2691.0,2691/ 57,INDIAN SUGAR MILLS ASSOCIATION,DEL,DELHI,M
740,DELENG11184,INDIAN EDUCATION DIGEST,,43091.0,43091/ 85,PRAMILA SRIVASTAVA,DEL,DELHI,M
741,DELBIL03673,FORUM OF INDIAN PUBLIC SCHOOLS,,67715.0,67715/ 98,VIJAY SHARMA,DEL,DELHI,M
742,DELHIN10119,JYOTISH INDIA,,72967.0,DELHIN/1999/00410,MAHESH CHANDER TIWARI,DEL,DELHI,M
743,DELENG02672,INDIA WORLD WIDE,,50762.0,50762/ 90,ABHISHEK VERMA,DEL,DELHI,M
744,DELHIN04563,SHOPPING INDIA FOR PEOPLES,,50774.0,50774/ 90,SATYENDRA SINGH,DEL,DELHI,M
745,DELENG12094,BAJAJ CAPITAL INVESTORS INDIA,,74844.0,DELENG/2000/02287,BAJAJ CAPITAL LTD,DEL,DELHI,M
746,DELENG01702,ELECTRONICS INDIA,,16372.0,16372/ 68,SHRI C.L.FRANCIS,DEL,DELHI,M
747,DELENG11190,INDIAN JOURNAL OF MEDICAL RESEARCH,,2223.0,2223/ 57,INDIAN COUNCIL OF MEDICAL RESEARCH,DEL,DELHI,M
748,DELHIN11280,INDIAN DREAM,,80118.0,DELHIN/2002/07561,MADHU K.SHRIVASTAVS,DEL,DELHI,M
749,DELSAN00040,INDIAN NATURE,,113302.0,DELSAN/2011/40745,VINAY KUMAR,DEL,DELHI,M
750,DELENG18615,BEAUTY LAUNCHPAD INDIA,,128692.0,DELENG/2014/56137,BEAUTE ESPACE MEDIA PVT LTD,DEL,DELHI,M
751,DELENG18540,CFO INDIA,,130995.0,DELENG/2013/58440,NINE DOT NINE MEDIAWORX PVT.LTD,DEL,DELHI,M
752,DELENG17860,PHARMA INDIA,,116297.0,DELENG/2012/43740,VITASTA PUBLISHING PVT. LTD.,DEL,DELHI,M
753,DELENG16235,AN INDIAN JOURNEY,,98774.0,DELENG/2008/26217,SANJEET,DEL,DELHI,M
754,DELENG15314,ECONOMY INDIA,,94470.0,DELENG/2007/21913,MANOHAR MANOJ KUMAR,DEL,DELHI,M
755,DELHIN28526,INDIAN ELECTRO HOMOEOPATHIC MEDICAL COUNCIL GAZETTE,,42956.0,42956/ 84,S.K VERMA,DEL,DELHI,M
756,DELENG14735,INDIA TODAY SPICE,इंडि‍या टूडे स्‍पाइस,87889.0,DELENG/2005/15332,LIVING MEDIA INDIA LIMITED,DEL,DELHI,M
757,DELBIL03301,NEWS PAPERS ASSOCIATION OF INDIA,,62500.0,62500/ 95,NEWSPAPER ASSOCIATION OF INDIA,DEL,DELHI,M
758,DELENG19371,UNITED CHURCH OF INDIA,,143051.0,DELENG/2016/70496,UNITED CHURCH OF INDIA,DEL,DELHI,M
759,DELENG13062,INDIAN PEDIATRICS,,8679.0,8679/ 64,INDIAN ACADEMY OF PEDIATRICS,DEL,DELHI,M
760,DELENG16376,INDIAN JOUNRAL OF AGRICULTURE SCIENCE,,14350.0,14350/ 57,"I.C.A.R , NEW DELHI",DEL,DELHI,M
761,DELENG17643,INDIAN INFRASTRUCTURE AND TENDERS WEEK,,110665.0,DELENG/2011/38108,NBM MEDIA PVT. LTD.,DEL,DELHI,M
762,DELENG15214,INDIAN RETAIL,,97060.0,DELENG/2008/24503,SHAILESH KUMAR PANDEY,DEL,DELHI,M
763,DELENG07300,ESSO INDIA NEWS,,11538.0,11538/ 64,ESSO STANDARD EASTERN LANE,DEL,DELHI,M
764,DELENG02625,INDIAN HERITAGE,,14215.0,14215/ 64,J.R.GOEL,DEL,DELHI,M
765,DELENG07047,INDIAN LABOUR JOURNAL,,14273.0,14273/ 57,MINISTRY OF LABOUR AND EMPLOYMENT,DEL,DELHI,M
766,DELBIL06870,INDIAN CONSUMER,,14307.0,14307/ 67,CONSUMER COUNCIL OF INDIA,DEL,DELHI,M
767,DELBIL05839,CHRONICLE'S INDIAN ECONOMIST,,87867.0,DELBIL/2005/15310,CHRONICLE PUBLICATIONS PVT. LTD.,DEL,DELHI,M
768,DELENG17105,PRABANDHAN: INDIAN JOURNAL OF MANAGEMENT,प्रबंधन: इंडियन जर्नल ऑफ़ मैनेजमेंट,99296.0,DELENG/2008/26739,ASSOCIATED MANAGEMENT CONSULTANTS PVT. LTD.,DEL,DELHI,M
769,DELMUL00034,B B C TO INDIA,,19697.0,19697/ 67,BRITISH BROADCASTING CORPORATION,DEL,DELHI,M
770,DELENG10947,CARD MEMBERS EXPRESS INDIA,,69972.0,69972/ 99,MEDIA TRANSASIA INDIA LTD,DEL,DELHI,M
771,DELENG12292,INDIAN CHEM NEWS,,82290.0,DELENG/2003/09733,RAJ AGGARWAL,DEL,DELHI,M
772,DELMUL01100,TOLERANCE INDIA,,145450.0,DELMUL/2017/72895,MAHENDRA PRATAP SINGH SIKARWAR,DEL,DELHI,M
773,DELBIL03660,INDIAN PACKAGING MARKET NEWS,,73130.0,DELBIL/1999/00573,RAJEEV DAHIYA,DEL,DELHI,M
774,DELBIL06407,STANDARDS INDIA,स्टैन्डर्डस् इंडिया,45929.0,45929/ 87,BUREAU OF INDIAN STANDARD,DEL,DELHI,M
775,DELENG02607,INDIAN EXPORT AND WORLD TRADE,,10712.0,10712/ 66,B. D. GIROLI,DEL,DELHI,M
776,DELBIL02942,INDIAN HARDWARE & SANITERY NEWS,,57367.0,57367/ 94,RAKESH SHARMA,DEL,DELHI,M
